Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,DatasetYear,SourceFile
80.0,295341.0,3.0,5.0,26.0,11601.0,20.0,0.0,8.666667,10.263203,5840.0,0.0,2320.2,2658.1958,39368.05,27.087334,42191.57,101718.12,272068.0,19.0,22939.0,11469.5,16193.452,22920.0,19.0,295209.0,73802.25,132615.47,272068.0,40.0,0.0,0.0,0.0,0.0,72.0,112.0,10.15775,16.929583,0.0,5840.0,1291.8889,2240.5442,5.020038e+06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1453.375,8.666667,2320.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,5.0,11601.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
53.0,225.0,2.0,2.0,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,711111.1,17777.777,75.0,45.90207,128.0,48.0,49.0,49.0,0.0,49.0,49.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,64.0,64.0,8888.889,8888.889,32.0,48.0,38.4,8.763561,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,32.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,96.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2017,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,427568.0,3.0,4.0,658.0,421.0,658.0,0.0,219.33333,379.89648,421.0,0.0,105.25,210.5,2523.5752,16.371664,71261.336,109896.875,213207.0,3.0,213346.0,106673.0,150752.34,213271.0,75.0,214361.0,71453.664,122761.6,213205.0,3.0,0.0,0.0,0.0,0.0,104.0,136.0,7.016428,9.355237,0.0,658.0,134.875,257.64728,66382.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,154.14285,219.33333,105.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,658.0,4.0,421.0,29200.0,5038.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2017,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,502558.0,3.0,5.0,26.0,11607.0,20.0,0.0,8.666667,10.263203,5840.0,0.0,2321.4,3173.3738,23147.576,15.918561,71794.0,189533.8,501616.0,4.0,701.0,350.5,446.1844,666.0,35.0,502503.0,125625.75,250660.36,501616.0,4.0,0.0,0.0,0.0,0.0,72.0,112.0,5.96946,9.9491005,0.0,5840.0,1292.5555,2554.1592,6.5237295e+06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1454.125,8.666667,2321.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,5.0,11607.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
53.0,1.0535622e+08,3.0,3.0,153.0,282.0,58.0,47.0,51.0,6.0827627,143.0,64.0,94.0,42.790184,4.1288495,0.056949653,2.11e+07,3.09e+07,6.86e+07,23688.0,1.05e+08,5.26e+07,2.26e+07,6.86e+07,3.67e+07,1.05e+08,5.26e+07,2.25e+07,6.86e+07,3.67e+07,0.0,0.0,0.0,0.0,80.0,60.0,0.028474826,0.028474826,47.0,143.0,68.85714,34.31923,1177.8096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.333336,51.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,153.0,3.0,282.0,-1.0,-1.0,2.0,20.0,41549.5,25259.975,59411.0,23688.0,5.26e+07,2.26e+07,6.86e+07,3.67e+07,0,2017,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,47741.0,3.0,5.0,26.0,11607.0,20.0,0.0,8.666667,10.263203,10220.0,0.0,2321.4,4455.1826,243668.97,167.57085,6820.143,17716.982,46997.0,2.0,544.0,272.0,315.36963,495.0,49.0,47696.0,11924.0,23383.145,46997.0,2.0,0.0,0.0,0.0,0.0,72.0,112.0,62.83907,104.73178,0.0,10220.0,1292.5555,3378.299,1.14e+07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1454.125,8.666667,2321.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,5.0,11607.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
54947.0,1.0812278e+07,1.0,6.0,1375.0,30.0,1375.0,1375.0,1375.0,0.0,6.0,0.0,5.0,2.4494898,129.94487,0.6474121,1.8020464e+06,4.405284e+06,1.08e+07,1.0,0.0,0.0,0.0,0.0,0.0,1.08e+07,2.1615465e+06,4.8258525e+06,1.08e+07,1.0,1.0,0.0,0.0,0.0,20.0,132.0,0.09248745,0.55492467,0.0,1375.0,347.5,634.1901,402197.16,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,397.14285,1375.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1375.0,6.0,30.0,229.0,0.0,0.0,20.0,17989.0,0.0,17989.0,17989.0,1.08e+07,0.0,1.08e+07,1.08e+07,0,2017,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,530930.0,3.0,4.0,26.0,11607.0,20.0,0.0,8.666667,10.263203,11595.0,0.0,2901.75,5795.5005,21910.61,13.184412,88488.336,216229.69,529865.0,5.0,903.0,451.5,494.26764,801.0,102.0,530859.0,176953.0,305631.16,529865.0,5.0,0.0,0.0,0.0,0.0,72.0,92.0,5.6504626,7.53395,0.0,11595.0,1454.125,4097.5376,1.68e+07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1661.8572,8.666667,2901.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,4.0,11607.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,8.034579e+07,8.0,5.0,56.0,11601.0,20.0,0.0,7.0,5.656854,5840.0,0.0,2320.2,2436.833,145.08539,0.16180064,6.6954825e+06,1.96e+07,6.8e+07,3.0,8.02e+07,1.15e+07,2.54e+07,6.8e+07,3.0,186940.0,46735.0,90301.375,182154.0,177.0,0.0,0.0,0.0,0.0,172.0,112.0,0.09956962,0.06223101,0.0,5840.0,833.0714,1774.9062,3.1502925e+06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,897.1539,7.0,2320.2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,56.0,5.0,11601.0,256.0,229.0,6.0,20.0,61.0,0.0,61.0,61.0,4.01e+07,3.95e+07,6.8e+07,1.21e+07,1,2017,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,1.18302e+06,5.0,0.0,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,25.358828,4.2264714,295755.0,589479.25,1.179973e+06,4.0,1.18302e+06,295755.0,589479.25,1.179973e+06,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4.2264714,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
